Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	10;5;5	3;1;1	3;1;1	;;	3	10	3	3	8	7	2	2	2	2	21.6	8.9	8.9	51.267	473	473;469;474	1	4	0	19.951	By MS/MS	By MS/MS	0.12221	0.28241	69.306	2	2	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	Median	Median	14.8	17.3	374380	348150	26228	154660	150540	4125.1	219720	197620	22103	12910	12005	904.4	5333.1	5190.9	142.25	7576.5	6814.3	762.16	0	0	189360	124240			+	10	61;73;304;409;446;456;663;796;865;896	True;False;True;False;False;False;True;False;False;False	65;78;342;460;501;511;744;888;963;996;997	100;101;117;544;724;822;823;837;838;1236;1464;1587;1588;1642;1643;1644;1645	155;156;157;176;921;1221;1341;1342;1387;1388;1389;1993;2417;2612;2613;2614;2615;2616;2617;2689;2690;2691;2692;2693;2694	157;176;921;1221;1341;1387;1993;2417;2616;2691	3;10	121;274
CON__P13645;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y7;CON__Q7Z3Y9;CON__Q99456;CON__Q2M2I5	CON__P13645	23;6;2;2;2;2;1;1;1	23;6;2;2;2;2;1;1;1	20;4;1;1;1;1;0;0;0		9	23	23	20	20	18	20	18	17	15	43.2	43.2	38.3	59.51	593	593;570;450;459;464;486;468;494;525	1	50	0	271.54	By MS/MS	By MS/MS	0.024387	0.057744	147.63	38	38	Median	0.014395	0.053412	0.02751	0.18084	137.19	119.19	22	16	22	16	Median	Median	37.9	40.5	45785000	43272000	2512900	33527000	32750000	777210	12258000	10522000	1735700	1761000	1664300	96650	1289500	1259600	29893	471450	404690	66757	100420000	2762500	19152000	0			+	11	29;48;119;192;311;314;404;446;455;480;604;627;628;649;662;671;690;694;712;713;866;896;931	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	31;50;127;214;352;355;455;501;510;539;682;683;707;708;730;743;752;775;779;798;799;964;996;997;1032	43;44;45;46;47;74;206;207;325;326;561;564;565;566;567;716;717;822;823;835;836;903;904;1137;1138;1139;1140;1177;1178;1179;1180;1214;1234;1235;1247;1248;1275;1282;1283;1306;1307;1308;1309;1310;1589;1642;1643;1644;1645;1697	64;65;66;67;68;69;70;112;113;114;115;345;346;530;531;959;960;963;964;965;966;967;968;1208;1209;1341;1342;1383;1384;1385;1386;1475;1476;1853;1854;1855;1856;1857;1914;1915;1916;1917;1918;1919;1920;1921;1965;1991;1992;2016;2017;2018;2051;2068;2069;2070;2071;2106;2107;2108;2109;2110;2111;2112;2113;2114;2115;2116;2117;2118;2618;2619;2689;2690;2691;2692;2693;2694;2766	69;113;345;530;960;968;1208;1341;1384;1475;1853;1915;1920;1965;1991;2018;2051;2070;2109;2115;2619;2691;2766	3;11;12	150;306;321
CON__P13647	CON__P13647	16	13	4		1	16	13	4	15	7	12	6	4	2	27.8	22.4	7.5	62.378	590	590	1	18	0	88.454	By MS/MS	By MS/MS	0.11637	0.18357	84.399	13	12	Median	0.10569	0.11637	0.20355	0.16567	75.25	98.319	8	5	8	4	Median	Median	26.3	12.7	2986100	2782100	203960	1927700	1799500	128200	1058400	982620	75764	96325	89746	6579.5	62183	58048	4135.4	34142	31698	2444	3830000	779600	1154000	0			+	12	68;210;237;306;408;425;444;508;577;586;619;665;800;887;921;928	True;True;True;True;True;False;False;True;False;True;True;True;True;True;True;True	73;235;265;344;459;477;499;569;651;662;699;746;892;893;986;1022;1029	111;359;407;408;547;722;723;780;781;819;955;1077;1078;1101;1163;1238;1468;1469;1624;1625;1682;1693;1694	169;589;670;671;924;1218;1219;1220;1288;1289;1338;1560;1767;1768;1769;1770;1804;1897;1995;2423;2424;2425;2664;2665;2749;2762;2763	169;589;670;924;1220;1288;1338;1560;1769;1804;1897;1995;2425;2665;2749;2763	13;14	247;274
CON__P35527	CON__P35527	17	17	17		1	17	17	17	17	7	17	7	17	7	30.5	30.5	30.5	62.129	623	623	1	35	0	151.28	By MS/MS	By MS/MS	0.025548	0.057768	149.57	28	28	Median	0.019311	0.032099	0.037604	0.11342	148.61	136.23	20	8	20	8	Median	Median	30.5	15.1	20520000	19778000	742320	13536000	13191000	344150	6984600	6586500	398170	789240	760690	28551	520600	507360	13237	268640	253330	15314	36490000	1372100	6379200	0			+	13	142;180;224;249;277;341;382;401;445;554;606;607;615;633;672;722;883	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	158;201;251;252;277;308;385;429;430;452;500;625;626;685;686;695;713;753;808;809;981	248;249;306;386;387;437;438;488;489;611;612;678;679;680;711;712;820;821;1035;1036;1037;1038;1143;1144;1157;1185;1249;1250;1322;1323;1324;1325;1616;1617;1618	401;402;494;638;639;716;717;718;719;720;721;814;815;816;1034;1035;1142;1143;1144;1196;1197;1339;1340;1686;1687;1688;1689;1690;1691;1692;1693;1694;1861;1862;1886;1926;2019;2020;2021;2022;2157;2158;2159;2160;2161;2162;2653;2654;2655;2656	401;494;639;720;816;1035;1144;1197;1339;1692;1861;1862;1886;1926;2020;2157;2653	15;16;17;18	157;234;245;269
CON__P35908v2;CON__P35908;CON__Q6NXH9	CON__P35908v2;CON__P35908	22;22;2	20;20;1	14;14;0	;	3	22	20	14	20	12	18	10	13	6	39.7	36.6	26.6	65.432	639	639;645;539	1	35	0	179.58	By MS/MS	By MS/MS	0.04958	0.10586	163.7	25	25	Median	0.038781	0.064463	0.077371	0.22652	114.26	172.98	16	9	16	9	Median	Median	36	24.6	15874000	14095000	1778800	9903200	9677500	225750	5970700	4417600	1553100	396850	352380	44471	247580	241940	5643.7	149270	110440	38827	16959000	1312100	6582900	0			+	14	69;160;239;272;276;278;315;340;364;425;444;495;505;574;577;603;698;724;731;833;930;939	True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True	74;179;180;267;302;307;309;356;384;411;477;499;554;566;648;651;681;783;811;819;928;1031;1042	112;113;278;279;280;281;412;413;414;415;416;417;418;419;476;486;487;490;568;569;606;607;608;609;610;649;650;780;781;819;934;952;1065;1066;1077;1078;1135;1136;1288;1328;1340;1529;1530;1696;1713	170;171;172;453;454;455;456;457;458;459;675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;800;811;812;813;817;969;970;971;1029;1030;1031;1032;1033;1085;1086;1087;1088;1089;1090;1288;1289;1338;1530;1557;1727;1728;1767;1768;1769;1770;1850;1851;1852;2077;2166;2167;2190;2536;2537;2538;2765;2794	172;459;684;800;813;817;971;1032;1085;1288;1338;1530;1557;1727;1769;1852;2077;2166;2190;2538;2765;2794	19	467
CON__P78386;CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__Q61726	CON__P78386;CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533	5;4;4;4;4;2	4;3;3;3;3;1	4;3;3;3;3;1	;;;;	6	5	4	4	5	1	4	0	4	0	9.9	8.5	8.5	55.802	507	507;486;493;493;505;479	1	4	0	25.146	By MS/MS	By matching	0.19685	0.35443	117.06	2	2	Median	0.19685	NaN	0.35443	NaN	117.06	NaN	2	0	2	0	Median	Median	9.9	1.4	244300	234100	10192	244300	234100	10192	0	0	0	7402.9	7094.1	308.86	7402.9	7094.1	308.86	0	0	0	310530	110060	0	0			+	15	237;279;535;714;765	False;True;True;True;True	265;310;599;800;855	407;408;491;998;1311;1418	670;671;818;1628;2119;2349	670;818;1628;2119;2349		
CON__Q14525	CON__Q14525	2	1	1		1	2	1	1	2	0	1	0	1	0	5.4	2.7	2.7	46.213	404	404	1	1	0	6.6925	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	5.4	0	71887	59213	12674	71887	59213	12674	0	0	0	2662.5	2193.1	469.41	2662.5	2193.1	469.41	0	0	0	91218	114530	0	0			+	16	71;623	False;True	76;703	115;1172	174;1906	174;1906		
CON__Q7RTS7;CON__Q32MB2;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84	CON__Q7RTS7;CON__Q32MB2;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84	2;2;1;1;1	1;1;1;1;1	1;1;1;1;1	;;;;	5	2	1	1	2	1	1	1	1	1	4	2.3	2.3	57.865	529	529;540;511;520;523	1	3	0	10.861	By MS/MS	By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	4	2.3	227130	219140	7997.6	111290	111290	0	115850	107850	7997.6	7571.1	7304.6	266.59	3709.6	3709.6	0	3861.5	3595	266.59	0	0	103350	44954			+	17	238;425	True;False	266;477	409;410;411;780;781	672;673;674;1288;1289	674;1288		
CON__Q3SX09;CON__P02070	CON__Q3SX09	8;3	8;3	8;3		2	8	8	8	7	2	7	2	7	2	41.3	41.3	41.3	22.06	201	201;145	1	10	0	50.844	By MS/MS	By MS/MS	0.1043	0.23451	29.707	7	7	Median	0.14761	0.081395	0.255	0.23249	36.073	1.2222	5	2	5	2	Median	Median	36.3	12.4	1029200	915480	113750	812010	722530	89479	217230	192960	24269	102920	91548	11375	81201	72253	8947.9	21723	19296	2426.9	1977900	504360	0	0			+	18	232;260;431;470;491;831;864;907	True;True;True;True;True;True;True;True	260;289;483;528;550;926;962;1008	400;401;456;788;867;928;1527;1586;1662;1663	655;656;767;1296;1424;1520;1521;2534;2611;2716;2717	656;767;1296;1424;1521;2534;2611;2716		
CON__Q7Z794	CON__Q7Z794	2	1	1		1	2	1	1	2	1	1	0	1	0	4	1.9	1.9	61.802	578	578	1	1	1	-2	By MS/MS	By matching	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	4	2.1	79913	72079	7833.8	79913	72079	7833.8	0	0	0	2577.8	2325.1	252.7	2577.8	2325.1	252.7	0	0	0	111040	70789	0	0	+		+	19	239;632	False;True	267;712	412;413;414;415;416;417;418;419;1184	675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;1925	684;1925	20	234
REV__Tb927.8.5970:mRNA-p1	REV__Tb927.8.5970:mRNA-p1	1	1	1	Tb927.8.5970:mRNA-p1 | transcript=Tb927.8.5970:mRNA | gene=Tb927.8.5970 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Cullin 5, putative | transcript_product=Cullin 5, putative | location=Tb927_08_v5.1:1748496-1750724(+) | protein_length=742 	1	1	1	1	1	0	1	0	1	0	0	0	0	84.834	742	742	1	1	1	-2	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	0	0	4273400	4259600	13861	4273400	4259600	13861	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6562000	125260	0	0	+	+		20	642	True	723	1201	1943	1943	21	733
REV__Tb927.8.7200:mRNA-p1	REV__Tb927.8.7200:mRNA-p1	1	1	1	Tb927.8.7200:mRNA-p1 | transcript=Tb927.8.7200:mRNA | gene=Tb927.8.7200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Region in Clathrin and VPS, putative | transcript_product=Region in Clathrin and VPS, putative | location=Tb927_08_v5.1:2067	1	1	1	1	1	0	1	0	1	0	0	0	0	125.33	1123	1123	1	1	0.0052632	5.9814	By MS/MS		NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	0	0	1028200	926450	101710	1028200	926450	101710	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1427200	919120	0	0		+		21	227	True	255	390	642;643	643		
Tb927.10.10360:mRNA-p1;Tb10.v4.0053:mRNA-p1;Tb10.v4.0052:mRNA-p1;Tb927.10.10280:mRNA-p1	Tb927.10.10360:mRNA-p1;Tb10.v4.0053:mRNA-p1;Tb10.v4.0052:mRNA-p1;Tb927.10.10280:mRNA-p1	2;2;2;1	2;2;2;1	2;2;2;1	Tb927.10.10360:mRNA-p1 | transcript=Tb927.10.10360:mRNA | gene=Tb927.10.10360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Microtubule-associated repetitive protein | transcript_product=Microtubule-associated repetitive protein | location=Tb	4	2	2	2	2	1	2	1	2	1	9.3	9.3	9.3	373.53	3198	3198;4119;4880;2371	1	3	0	18.883	By MS/MS	By MS/MS	0.42967	1.2873	111.5	3	3	Plateau	0.1318	NaN	0.25434	NaN	56.964	NaN	2	1	2	1	Median	Median	9.3	1	592320	461260	131060	316540	269820	46725	275780	191450	84332	2457.8	1914	543.8	1313.5	1119.6	193.88	1144.3	794.38	349.93	830680	211270	0	0				22	725;811	True;True	812;904	1329;1330;1484	2168;2169;2170;2444	2169;2444		
Tb10.v4.0109:pseudogenic_transcript-p1	Tb10.v4.0109:pseudogenic_transcript-p1	1	1	1	Tb10.v4.0109:pseudogenic_transcript-p1 | transcript=Tb10.v4.0109:pseudogenic_transcript | gene=Tb10.v4.0109 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface glycoprotein (VSG, pseudogene), putative | transcript_product=variant su	1	1	1	1	0	1	0	1	0	1	1.9	1.9	1.9	57.895	529	529	1	1	0	6.0914		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	1.9	118480	78277	40204	0	0	0	118480	78277	40204	4388.2	2899.1	1489	0	0	0	4388.2	2899.1	1489	0	0	75008	225980				23	80	True	85	136	216	216		
Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1	Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1	3;3;3;3	3;3;3;3	3;3;3;3	Tb927.6.4980:mRNA-p1 | transcript=Tb927.6.4980:mRNA | gene=Tb927.6.4980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S14 | transcript_product=40S ribosomal protein S14 | location=Tb927_06_v5.1:1370239-1370673(+) | prote	4	3	3	3	3	2	3	2	3	2	23.6	23.6	23.6	15.513	144	144;144;144;144	1	5	0	20.223	By MS/MS	By MS/MS	0.17123	0.43065	43.932	5	0	Leave out requantified	0.13594	0.21518	0.26127	0.67085	72.796	7.9885	3	2	0	0	Leave out requantified	Median	23.6	16.7	1287200	1072700	214450	871020	734570	136440	416180	338160	78012	183880	153250	30636	124430	104940	19492	59454	48309	11145	2175700	568460	342960	559910				24	362;552;702	True;True;True	409;623;787	645;646;1033;1292;1293	1080;1081;1082;1684;2083;2084;2085	1080;1684;2085		
