Gene ID	Organism	Genomic Location (Gene)	Product Description	Gene Name or Symbol	
Tb927.10.7400	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,866,989..1,868,709(-)	predicted zinc finger protein	N/A	
Tb927.10.6390	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,614,785..1,615,814(-)	hypothetical protein, conserved	N/A	
Tb927.11.12430	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,327,002..3,329,495(+)	cell division cycle phosphatase 14, putative	N/A	
Tb09.v4.0120	Trypanosoma brucei brucei TREU927	tryp_IXb-218d07.p1c:133,495..135,030(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.3.1700	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:446,049..448,336(-)	diacylglycerol acyltransferase, putative	N/A	
Tb927.4.4080	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,083,284..1,084,566(-)	C-5 sterol desaturase, putative	N/A	
Tb927.5.3480	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,149,759..1,151,432(-)	hypothetical protein, conserved	N/A	
Tb927.8.5700	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,686,379..1,687,631(+)	mitochondrial editosome-associated protein KREPB10	KREPB10	
Tb927.10.16020	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,947,614..3,948,731(+)	pre-RNA processing PIH1/Nop17, putative	N/A	
Tb927.11.8750	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,407,352..2,407,789(+)	hypothetical protein, conserved	N/A	
Tb927.11.11910	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,191,712..3,192,807(+)	hypothetical protein, conserved	N/A	
Tb927.11.13470	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,605,398..3,606,115(-)	PPPDE putative peptidase domain containing protein, putative	N/A	
Tb927.2.3340	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:619,143..620,168(-)	hypothetical protein	N/A	
Tb927.5.5630	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,778,506..1,780,110(+)	Variant Surface Glycoprotein, putative	N/A	
Tb927.11.13320	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,567,473..3,569,904(-)	hypothetical protein, conserved	N/A	
Tb927.2.3800	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:675,970..679,126(-)	guide RNA associated protein 1	GRBC2	
Tb927.7.5980	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,608,682..1,610,646(+)	protein associated with differentiation 6, putative	PAD6	
Tb927.9.15550	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,427,886..2,429,299(+)	BARP protein	BARP	
Tb927.9.18000	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:3,068,622..3,068,780(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb08.27P2.435	Trypanosoma brucei brucei TREU927	Tbrucei.chr8.100:82,105..83,399(-)	variant surface glycoprotein, fragment	N/A	
Tb927.4.3650	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:926,759..927,383(-)	serine threonine-protein phosphatase PP1, putative	N/A	
Tb927.9.13030	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,058,733..2,060,155(+)	QA-SNARE protein putative	N/A	
Tb927.10.14830	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,613,660..3,614,728(-)	Mitochondrial ADP/ATP carrier protein 5b	MCP5b	
Tb927.11.9960	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,683,244..2,684,361(+)	Protein of unknown function (DUF2870), putative	N/A	
Tb927.11.20660	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:671,973..673,514(-)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.v5.0817	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,259,786..4,270,650(-)	ubiquitin-protein ligase, putative	N/A	
Tb11.v5.0805	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,183,520..4,195,149(+)	hypothetical protein, conserved	N/A	
Tb11.v5.0140	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:109,839..110,974(-)	variant surface glycoprotein (VSG), pseudogene	N/A	
Tb11.v5.0459	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,854,142..1,855,290(+)	Variant Surface Glycoprotein, putative	N/A	
Tb11.v5.0800	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,156,333..4,163,212(+)	retrotransposon hot spot (RHS) protein, putative	N/A	
Tb11.v5.0396	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,413,045..1,415,035(-)	potassium voltage-gated channel, putative	N/A	
Tb11.v5.0835	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,357,716..4,359,368(-)	kinesin, putative	N/A	
Tb11.v5.0128	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:53,607..54,581(-)	variant surface protein (VSG), putative	N/A	
Tb11.v5.0847	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,421,660..4,434,749(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.1440	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,147,968..5,148,435(+)	variant surface glycoprotein (VSG, pseudogene), fragment	N/A	
Tb11.v5.0953	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,892,201..4,893,628(-)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb927.11.2060	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:592,638..593,734(+)	60S acidic ribosomal protein P0, putative	N/A	
Tb927.11.15030	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,997,609..3,999,633(-)	small GTPase	X3	
Tb927.11.17980	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,870,365..4,871,863(-)	variant surface glycoprotein (VSG), degenerate	N/A	
Tb927.11.4370	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,265,894..1,266,589(-)	hypothetical protein, conserved	N/A	
Tb927.11.16680	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,435,186..4,437,334(-)	tRNA pseudouridine synthase D (TruD), putative	N/A	
Tb927.11.9590	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,610,063..2,612,054(-)	S-adenosylhomocysteine hydrolase, putative	N/A	
Tb927.11.16330	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,330,421..4,333,276(-)	hypothetical protein, conserved	N/A	
Tb927.11.12780	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,421,868..3,423,562(-)	ribonucleoside-diphosphate reductase small chain, putative	N/A	
Tb10.v4.0123	Trypanosoma brucei brucei TREU927	tryp_X-254c10.q1c:55,175..56,650(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb10.v4.0253	Trypanosoma brucei brucei TREU927	tryp_X-76f06.p1c:7,535..8,017(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.0110	Trypanosoma brucei brucei TREU927	tryp_XI-1032b03.p2k737:6,557..7,594(-)	hypothetical protein	N/A	
Tb927.1.1650	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:417,999..418,622(+)	hypothetical protein, conserved	N/A	
Tb927.2.4750	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:842,055..844,104(-)	hypothetical protein, conserved	N/A	
Tb927.3.3670	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,027,081..1,029,265(+)	Triple RNA binding domain protein 3	TRRM3	
Tb927.4.3340	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:871,774..873,651(-)	hypothetical protein, conserved	N/A	
Tb927.5.1260	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:472,304..476,079(+)	Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family, putative	N/A	
Tb927.6.930	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:396,519..398,483(-)	metacaspase MCA3	MCA3	
Tb927_09_v4.snoRNA.0096	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,974,057..1,974,059(+)	H/ACA-like snoRNA	N/A	
Tb927.4.3320	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:869,311..870,178(-)	uracil phosphoribosyltransferase, putative	N/A	
Tb927.9.9960	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,576,405..1,578,039(-)	katanin P80 subunit, putative	KAT80	
Tb927.9.14600	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,282,953..2,285,376(+)	iron/ascorbate oxidoreductase family protein, putative	N/A	
Tb927.10.16420	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:4,087,026..4,087,586(+)	variant surface glycoprotein, fragment	N/A	
Tb927.3.5490	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,535,025..1,537,910(+)	Putative intraflagellar transport protein B2	PIFTB2	
Tb927.3.4580	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,279,500..1,282,748(-)	hypothetical protein, conserved	N/A	
Tb927.3.400	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:84,061..85,595(+)	variant surface glycoprotein, degenerate	N/A	
Tb927.4.3050	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:807,155..809,812(+)	hypothetical protein	N/A	
Tb927.4.4663	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,287,302..1,287,374(-)	small RNA-76	sRNA-76	
Tb927.4.5340	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,452,906..1,455,930(-)	Flagellum attachment zone protein 11	FAZ11	
Tb927.4.2560	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:672,466..674,572(+)	cardiolipin synthetase	CLS	
Tb927.5.5530	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,738,208..1,739,825(-)	Variant Surface Glycoprotein, putative	N/A	
Tb927.6.2270	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:712,976..713,865(+)	AdoMet dependent proline di-methyltransferase, putative	N/A	
Tb927.6.3770	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,120,063..1,120,891(-)	hypothetical protein, conserved	N/A	
Tb927.6.3010	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:895,744..897,643(+)	PH domain containing protein, putative	N/A	
Tb927.6.2150	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:684,152..685,809(-)	cell division cycle protein 16 homolog, putative	N/A	
Tb927.6.1380	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:501,471..502,679(-)	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative	PPIase	
Tb927.7.2800	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:726,035..727,530(+)	Prp18 domain containing protein, putative	N/A	
Tb927.8.2060	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:644,161..653,337(+)	Concanavalin A-like lectin/glucanases superfamily/Beige/BEACH domain containing protein, putative	N/A	
Tb927.11.13380	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,586,136..3,592,473(-)	VSG Exclusion Protein 2	VEX2	
Tb927.11.13770	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,671,384..3,672,882(+)	LEM3 (ligand-effect modulator 3) family / CDC50 family, putative	N/A	
Tb927.1.990	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:288,568..289,706(+)	Enkuring domain-containig protein	N/A	
Tb927.7.2440	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:628,618..629,656(-)	pyrroline-5-carboxylate reductase, putative	P5CR	
Tb927.10.8120	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,020,457..2,023,072(-)	RNA ligase/AAA domain containing protein, putative	N/A	
Tb927.2.540	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:105,096..108,123(-)	DNA-directed RNA polymerase, pseudogene, putative	N/A	
Tb927.6.3150	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:927,299..941,905(+)	Hydin	N/A	
Tb927.11.5680	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,603,286..1,604,016(+)	dynein light chain 1, axonemal	LC1	
tmp.1.50	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:799,502..799,716(+)	M1 ribosomal RNA	M1	
Tb927.1.4740	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:971,898..975,136(+)	FAM91 N-terminus/FAM91 C-terminus, putative	N/A	
Tb927.2.5660	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:1,021,550..1,022,501(+)	adenylate kinase, putative	ADKA	
Tb927.2.5980	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:1,084,364..1,087,644(+)	chaperone protein ClpB1, putative	N/A	
Tb927.3.3350	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:858,697..860,263(-)	hypothetical protein, conserved	N/A	
Tb927.3.1460	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:372,935..373,981(+)	hypothetical protein	N/A	
Tb927.3.5050	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,417,688..1,418,920(+)	60S ribosomal protein L4	N/A	
Tb927.4.680	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:193,789..194,987(-)	hypothetical protein, conserved	N/A	
Tb927.4.1940	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:491,290..493,316(-)	WD domain, G-beta repeat, putative	N/A	
Tb927.4.3850	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,004,733..1,006,551(-)	NLE (NUC135) domain/WD domain, G-beta repeat, putative	N/A	
Tb927.4.1660	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:425,933..427,751(-)	mitochondrial carrier protein, putative	MCP6	
Tb927.5.1860	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:635,578..637,245(+)	hypothetical protein, conserved	N/A	
Tb927.5.5430	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,697,631..1,699,160(-)	Variant Surface Glycoprotein, putative	N/A	
Tb927.6.2220	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:703,661..704,337(+)	hypothetical protein, conserved	N/A	
Tb927.6.110	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,751..2,416(+)	hypothetical protein	N/A	
Tb927_06_v4.snoRNA.0002	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:615,466..615,558(-)	C/D snoRNA	N/A	
Tb927.7.7470	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:2,147,115..2,151,293(-)	procyclic-enriched flagellar receptor adenylate cyclase 3	ACP3	
Tb927.7.3560	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:921,395..926,896(-)	Component of motile flagella 7	CMF7	
Tb927_08_v4.snoRNA.0012	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:549,815..549,881(+)	H/ACA-like snoRNA	N/A	
Tb927.8.3610	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,082,670..1,084,035(-)	AKAP7 2'5' RNA ligase-like domain containing protein, putative	N/A	
Tb927.8.6630	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,914,887..1,916,198(-)	hypothetical protein	N/A	
Tb927.8.5340	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,585,572..1,587,465(+)	hypothetical protein	N/A	
Tb927.8.2730	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:808,337..810,316(+)	hypothetical protein, conserved	N/A	
Tb927.11.6970	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,961,993..1,963,206(-)	NADH-cytochrome b5 reductase-like protein	N/A	
Tb927.11.2670	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:783,432..785,246(-)	Nucleoporin NUP59	NUP59	
Tb927.11.17810	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,820,166..4,821,460(-)	variant surface glycoprotein (VSG), frameshifted and degenerate	N/A	
Tb927.11.3480	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,029,085..1,031,261(+)	Sin-like protein conserved region, putative	N/A	
Tb927.11.6190	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,743,102..1,743,832(-)	hypothetical protein, conserved	N/A	
Tb927.11.13410	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,596,225..3,597,324(-)	hypothetical protein, conserved	N/A	
Tb927.11.2960	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:861,615..861,988(-)	hypothetical protein, conserved	N/A	
Tb09.v4.0072	Trypanosoma brucei brucei TREU927	tryp_IXb-217g08.q1c:22,764..24,183(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb09.v4.0107	Trypanosoma brucei brucei TREU927	tryp_IXb-218d07.p1c:86,848..88,417(+)	expression site-associated gene 5 (ESAG5) protein, putative	N/A	
Tb11.0510	Trypanosoma brucei brucei TREU927	tryp_XI-1079d10.p1k:7,999..9,354(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.1110	Trypanosoma brucei brucei TREU927	tryp_XI-339b02.q2k2024:7,415..9,248(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.1770	Trypanosoma brucei brucei TREU927	tryp_XI-974h12.q1k:9,337..14,445(+)	hypothetical protein	N/A	
Tb927.5.5130	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,601,690..1,603,292(-)	variant surface glycoprotein, degenerate	N/A	
Tb927.8.3790	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,127,411..1,128,678(-)	paraflagellar rod component, putative	PFC2	
Tb927.10.12890	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,132,231..3,134,463(-)	bifunctional aminoacyl-tRNA synthetase, putative	N/A	
Tb927.10.14360	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,492,468..3,493,837(-)	U2 small nuclear ribonucleoprotein 40K	U2_40K	
Tb927.10.12400	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,006,836..3,008,755(-)	membrane transporter protein, putative	N/A	
Tb927.11.17280	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,645,378..4,646,826(+)	variant surface glycoprotein (VSG), point mutation	N/A	
Tb927.5.3590	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,179,831..1,181,880(+)	Putative zinc finger motif, C2HC5-type/ASCH domain containing protein, putative	N/A	
Tb927.7.3450	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:892,370..893,156(-)	protein I/6	N/A	
Tb927.10.13760	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,359,570..3,360,363(-)	hypothetical protein, conserved	N/A	
Tb11.v5.0532	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:2,288,033..2,298,611(+)	retrotransposon hot spot (RHS) protein, putative	N/A	
Tb927.11.10440	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,780,351..2,781,289(+)	hypothetical protein, conserved	N/A	
Tb10.v4.0246	Trypanosoma brucei brucei TREU927	tryp_X-68d04.q1c:2,803..4,791(+)	hypothetical protein	N/A	
Tb927.2.1550	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:284,636..286,886(-)	18S ribosomal RNA	18S	
Tb927.2.420	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:74,059..76,659(-)	DNA-directed RNA polymerase, pseudogene, putative	N/A	
Tb927.7.4980	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,319,783..1,321,056(+)	Present in the outer mitochondrial membrane proteome 35	ZC3H23	
Tb927.5.4010	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,296,164..1,297,207(-)	Enriched in surface-labeled proteome protein 4	ESP4	
Tb927.8.2760	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:815,506..817,052(+)	50S ribosome-binding GTPase, putative	N/A	
Tb927.10.10710	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,602,266..2,603,669(-)	hypothetical protein, conserved	N/A	
Tb927.9.17050	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,812,598..2,814,040(-)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb927_09_v4.snoRNA.0059	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,677,363..1,677,428(-)	H/ACA-like snoRNA	N/A	
Tb11.v5.0400	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,445,263..1,445,694(-)	Variant Surface Glycoprotein, putative	N/A	
Tb927.11.2170	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:615,859..617,425(+)	hypothetical protein, conserved	N/A	
